datetime,FST_Thermocouple_Handheld,AirTemp,SolarA,dp,ws,SolarB,treatment,date,FruitSize(mm),FST_SolarA_WeatherBased,FST_SolarB_WeatherBAsed
7/13/2022 15:15,28.4,28.1,257,23.06197662,0.22,74,Control,7/13/2022,47,44.56,41.39
7/13/2022 15:16,26.8,28.1,263,23.28389701,0.23,76,Control,7/13/2022,47,44.47,41.27
7/13/2022 16:18,32.3,29.7,895,23.86497642,0.35,299,Control,7/13/2022,47,53.31,44.62
7/13/2022 16:19,30.9,29.3,861,23.73794609,0.37,297,Control,7/13/2022,47,51.94,43.86
7/13/2022 16:20,27.73333333,29.5,837,25.50514225,0.38,271,Control,7/13/2022,47,51.88,43.84
7/13/2022 16:22,32.6,29,800,25.04118431,0.3,240,Control,7/13/2022,47,52.59,43.97
7/13/2022 16:23,31.3,29.6,646,24.86326885,0.4,209,Control,7/13/2022,47,48.84,42.71
7/13/2022 16:24,31.93333333,29.8,724,25.23292203,0.42,235,Control,7/13/2022,47,49.84,43.11
7/13/2022 16:25,30.2,30.2,782,23.20277657,0.4,256,Control,7/13/2022,47,51.1,43.75
7/13/2022 16:26,30.35,30.2,760,21.25508421,0.3,260,Control,7/13/2022,47,52.6,44.92
7/14/2022 13:06,27.9,27.3,897,17.76788686,0.23,241,Control,7/14/2022,47,53.29,42.24
7/14/2022 13:07,30.7,27.1,897,18.30320942,0.25,208,Control,7/14/2022,47,52.49,41.16
7/14/2022 13:09,32.8,27.6,898,17.81805469,0.19,159,Control,7/14/2022,47,55.21,42.03
7/14/2022 13:10,26.73333333,28.1,898,16.99628582,0.27,140,Control,7/14/2022,47,52.68,40.53
7/14/2022 13:11,29.05,28.3,899,18.5825798,0.23,125,Control,7/14/2022,47,54.48,41.46
7/14/2022 13:12,32.46666667,28.5,899,18.59481962,0.19,119,Control,7/14/2022,47,56.28,42.41
7/14/2022 13:13,35.6,28.1,897,17.90268924,0.11,117,Control,7/14/2022,47,60.36,44.28
7/14/2022 13:16,27.3,28,898,16.81134157,0.16,112,Control,7/14/2022,47,56.87,42.15
7/14/2022 13:17,30.7,27.8,897,19.81196914,0.2,112,Control,7/14/2022,47,55.33,41.54
7/14/2022 14:55,35.13333333,30.4,834,19.35765338,0.27,171,Control,7/14/2022,47,54.43,43.9
7/14/2022 14:56,35.1,30.2,832,19.69385074,0.32,171,Control,7/14/2022,47,52.93,42.98
7/14/2022 14:57,30.15,30.6,831,18.38566631,0.29,171,Control,7/14/2022,47,53.87,43.62
7/14/2022 14:58,31.3,29.7,829,17.76213183,0.18,170,Control,7/14/2022,47,56.56,44.71
7/14/2022 14:59,33.75,30,827,20.18932795,0.36,171,Control,7/14/2022,47,51.84,42.32
7/14/2022 15:00,36.73333333,30.5,827,16.33812178,0.24,171,Control,7/14/2022,47,54.81,43.99
7/14/2022 15:02,31.33333333,30.6,825,20.18368159,0.35,177,Control,7/14/2022,47,52.64,43.18
7/14/2022 16:16,31.7,33.1,688,14.69265184,0.4,180,Control,7/14/2022,47,51.5,44.43
7/14/2022 16:17,37.45,31.5,686,18.93666876,0.29,180,Control,7/14/2022,47,52.67,44.82
7/14/2022 16:18,35.7,32.1,684,20.95151748,0.34,181,Control,7/14/2022,47,52.49,45.09
7/14/2022 16:19,31.4,32.7,682,22.24483939,0.44,187,Control,7/14/2022,47,51.53,44.87
7/14/2022 16:20,34.26666667,33.1,680,22.7054597,0.39,194,Control,7/14/2022,47,52.81,46.01
7/14/2022 16:21,40.1,32.7,678,22.81215751,0.39,197,Control,7/14/2022,47,52.38,45.64
7/14/2022 16:23,34.36666667,30.5,673,19.19912468,0.23,182,Control,7/14/2022,47,53.12,44.9
